word,len
سرمايه,6
دال,6
دستگاه,6
پيش,6
مورد,6
ساختار,6
جلودار,6
ملک,6
لب,6
بد,6
منطقه,6
دفاع,6
اطلاعات,6
درککردن,6
شور,6
چک,6
اعتبار,6
گرد,6
راهانداختن,6
درخشيدن,6
گرم,6
ستاره,6
بادي,6
منفي,6
چاپ,6
بالارفتن,6
پيچيدن,6
کشتي,6
نهاد,6
دستور,6
کليد,6
خمار,6
دنبالکردن,6
سکو,6
مسير,6
نظام,6
پرداختن,6
شرکت,6
خرابکردن,6
اينده,6
فکرکردن,6
چنگال,6
مسيله,6
خاکي,6
سيستم,6
بستهشدن,6
فصل,6
خبر,6
ارتفاع,6
نشان,6
چهره,6
کپيکردن,6
بنيان,6
نرم,6
شب,6
حفظکردن,6
حمله,6
ازبينرفتن,6
حمل,6
بنياد,6
نشاندن,6
بررسيکردن,6
برد,6
پخشکردن,6
نقل,6
شناسايي,6
ماه,6
سنگين,6
خوابيدن,6
چرخيدن,6
پي,6
نمايش,6
خوبي,6
سو,6
کوته,6
برگشتن,6
قدر,6
قدرت,6
خرد,6
فشار,6
قبولکردن,6
سوزاندن,6
خطا,6
ناراحت,6
خزانه,6
کوتاه,6
انتها,6
وقت,6
ابتدا,6
علم,6
واگذارکردن,6
مدعي,6
اندازه,6
رديف,6
محيط,6
کانال,6
توجه,6
رويه,6
انباشتن,6
ريختن,6
رييس,6
ثابت,6
روپيه,6
گسترشدادن,6
انسان,6
تور,6
صندوق,6
تصوير,6
وجه,6
ترتيب,6
تيغ,6
رد,6
عمر,6
کانون,6
هدايت,6
طول,6
جاانداختن,6
ولکردن,6
اجراکردن,6
ظرفيت,6
محکم,6
صاف,6
جدي,6
هوا,6
عصر,6
تمامکردن,6
جذب,6
اتش,6
جدول,6
متوجهشدن,6
علاقه,6
کاهش,6
انگاره,6
مرد,6
روشنکردن,6
توليد,6
جام,6
مجلس,6
تکرار,6
عنوان,6
سنگین,6
پیش,6
کلید,6
مسیر,6
نور,5
فرهنگ,5
پایین,5
کتابخانه,5
فکر,5
قلم,5
حلقه,5
مربی,5
شبکه,5
پایان,5
روشن,5
گوشه,5
زنگ,5
پر,5
تخت,5
تاج,4
عکس,4
داستان,4
سفر,4
خواب,4
سیاه,4
رنگ,4
کوچک,4
مهمان,4
هنر,4
نگاه,4
بیرون,4
شکست,4
حس,4
جمله,4
حافظه,4
شیرین,4
ریشه,4
دانه,4
مرغ,4
زن,4
شعر,4
برگ,4
سنگ,3
مدرسه,3
نقشه,3
ماشین,3
میز,3
چشم,3
خیابان,3
ماهی,3
جنگل,3
مزرعه,3
قلب,3
سرعت,3
پرنده,3
پیر,3
کتاب,3
تلفن,3
خورشید,3
حرکت,3
شمع,3
موج,3
موسیقی,3
گرما,3
شهر,2
دیوار,2
کوه,2
عید,2
رود,2
گلوله,2
قضاوت,2
تاریک,2
دانشجو,2
غذا,2
دوست,2
قطار,2
نما,2
پیشرفت,2
پرورش,2
خیال,2
جدید,2
کاغذ,2
چوب,2
عطر,2
نوروز,2
رویا,2
یاد,2
دشت,2
خوراک,2
پرواز,2
بیمار,2
شکر,2
باد,2
سکه,2
پرچم,2
میوه,2
چراغ,2
چای,2
